OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
354172,6240,193,5,4190,Kolhapur,2026-07-08T21:26:18.000+05:30
404951,1250,722,3,693,Bhiwani,2026-07-08T21:26:19.000+05:30
684967,6586,215,1,3944,Thanjavur,2026-07-08T21:26:20.000+05:30
981533,1692,534,4,722,Kottayam,2026-07-08T21:26:31.000+05:30
584186,3696,186,1,4164,Sambalpur,2026-07-08T21:26:32.000+05:30
883548,6491,172,5,3819,Giridih,2026-07-08T21:26:33.000+05:30
746835,3547,612,3,4123,Jamnagar,2026-07-08T21:25:25.000+05:30
895767,1934,155,1,2154,Munger,2026-07-08T21:25:26.000+05:30
536616,7172,378,3,1834,Bhiwandi,2026-07-08T21:25:27.000+05:30
705207,1092,462,1,1991,Belgaum,2026-07-08T21:26:07.000+05:30
232827,5094,234,1,1585,Ambattur,2026-07-08T21:26:08.000+05:30
205708,461,53,4,3035,Gorakhpur,2026-07-08T21:26:09.000+05:30
