OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
763327,9591,728,4,814,Tinsukia,2026-07-08T21:25:16.000+05:30
154473,761,867,5,2284,Ghaziabad,2026-07-08T21:25:17.000+05:30
201880,6575,993,1,3651,South Dumdum,2026-07-08T21:25:18.000+05:30
322249,7792,102,3,3310,Gudivada,2026-07-08T21:26:24.000+05:30
517524,2676,751,1,372,Karawal Nagar,2026-07-08T21:26:25.000+05:30
479125,2059,794,1,1225,Mathura,2026-07-08T21:26:26.000+05:30
264629,5801,708,4,146,Dharmavaram,2026-07-08T21:26:34.000+05:30
177619,7323,593,2,4525,Varanasi,2026-07-08T21:26:35.000+05:30
889520,8301,644,5,1636,Mangalore,2026-07-08T21:26:36.000+05:30
146383,5382,685,4,763,Serampore,2026-07-08T21:26:21.000+05:30
461083,7907,887,5,3207,Secunderabad,2026-07-08T21:26:22.000+05:30
636466,8049,711,4,4786,Kavali,2026-07-08T21:26:23.000+05:30
