OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
164029,9961,530,1,600,Latur,2026-07-08T21:25:00.000+05:30
849720,3762,150,2,347,Tezpur,2026-07-08T21:25:01.000+05:30
503260,6105,721,3,566,Coimbatore,2026-07-08T21:25:02.000+05:30
770434,3912,475,5,4683,Guna,2026-07-08T21:24:49.000+05:30
852418,5074,458,3,406,Nandyal,2026-07-08T21:24:50.000+05:30
869868,2064,160,3,1058,Jalgaon,2026-07-08T21:24:51.000+05:30
867319,5780,648,1,4055,Salem,2026-07-08T21:25:34.000+05:30
728767,1265,937,2,629,Jaunpur,2026-07-08T21:25:35.000+05:30
837672,9363,546,3,2756,Nanded,2026-07-08T21:25:36.000+05:30
595485,7674,121,1,2144,Thrissur,2026-07-08T21:26:12.000+05:30
670158,6427,92,1,2145,Shimoga,2026-07-08T21:26:13.000+05:30
568738,63,639,4,4606,Jammu,2026-07-08T21:26:14.000+05:30
