OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
707006,335,827,1,2481,Tezpur,2026-07-08T21:26:15.000+05:30
346067,5487,97,3,3771,Bhilwara,2026-07-08T21:26:16.000+05:30
998441,6972,425,5,2458,Gaya,2026-07-08T21:26:17.000+05:30
559553,523,88,2,4714,Jabalpur,2026-07-08T21:25:54.000+05:30
486777,5809,996,2,399,Bally,2026-07-08T21:25:55.000+05:30
540386,3241,397,5,881,Aizawl,2026-07-08T21:25:56.000+05:30
847807,9612,508,4,2866,Jamshedpur,2026-07-08T21:26:40.000+05:30
122222,4709,465,5,665,Kirari Suleman Nagar,2026-07-08T21:26:41.000+05:30
143026,4909,793,4,4559,Srinagar,2026-07-08T21:24:54.000+05:30
741374,2543,327,2,745,Kirari Suleman Nagar,2026-07-08T21:24:55.000+05:30
