OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
933541,9077,613,1,2845,Karawal Nagar,2026-07-08T21:24:44.000+05:30
832950,3029,264,3,2702,Imphal,2026-07-08T21:24:45.000+05:30
978993,6893,29,1,1299,Vijayanagaram,2026-07-08T21:24:46.000+05:30
562461,9689,873,1,620,Naihati,2026-07-08T21:24:47.000+05:30
392601,8804,474,2,3622,Imphal,2026-07-08T21:24:48.000+05:30
344802,1212,645,2,4774,Raurkela Industrial Township,2026-07-08T21:25:10.000+05:30
295386,7372,64,1,175,Gorakhpur,2026-07-08T21:25:11.000+05:30
896555,2859,552,4,4641,Machilipatnam,2026-07-08T21:25:12.000+05:30
237398,9383,437,3,2712,Kirari Suleman Nagar,2026-07-08T21:25:57.000+05:30
727596,9454,381,3,900,Vellore,2026-07-08T21:25:58.000+05:30
741375,3484,209,4,1452,Ulhasnagar,2026-07-08T21:25:59.000+05:30
324748,634,642,1,4701,Anantapur,2026-07-08T21:26:02.000+05:30
125556,457,192,4,2117,Aurangabad,2026-07-08T21:26:03.000+05:30
809845,9081,133,4,3945,Gandhinagar,2026-07-08T21:26:04.000+05:30
