OrderID,CustomerID,ProductID,Quantity,Price,City,OrderTime
592191,9993,605,1,4092,Patiala,2026-07-08T21:26:37.000+05:30
278439,4256,806,3,2728,Asansol,2026-07-08T21:26:38.000+05:30
886888,6684,781,4,2280,Siliguri,2026-07-08T21:26:39.000+05:30
761518,4762,280,3,1296,Ozhukarai,2026-07-08T21:25:04.000+05:30
925288,4800,459,3,480,Satna,2026-07-08T21:25:05.000+05:30
796005,1974,986,1,3026,Kolhapur,2026-07-08T21:25:06.000+05:30
204422,6389,999,1,4552,Saharsa,2026-07-08T21:25:47.000+05:30
550365,7442,557,2,2463,Agartala,2026-07-08T21:25:48.000+05:30
735646,3277,864,5,280,Naihati,2026-07-08T21:25:49.000+05:30
531278,1506,52,1,400,Ramagundam,2026-07-08T21:25:19.000+05:30
343781,2507,793,5,3156,Bijapur,2026-07-08T21:25:20.000+05:30
835995,6507,753,2,4029,Adoni,2026-07-08T21:25:21.000+05:30
